lithium|DRUG|is being evaluated as a monotherapy and in the ITI-007-402 trial , lumateperone is being evaluated as an adjunctive therapy with entity or valproate .
lithium|DRUG|Current drug therapy for bipolar disorder includes the use of entity and anti-depressants .
lithium|DRUG|Mood-stabilizing drugs can treat bipolar symptoms when they are present , including entity and anticonvulsants , such as valproic acid and lamotrigine .
lithium|DRUG|Retail sales of Energizers entity and rechargeable products increased 22% in the quarter while our price-oriented product sales declined 12% .
lithium|DRUG|To date , the only drug that interacted with ZS-9 is entity .
lithium|DRUG|Mr . Friess and Mr . Schwartz sold most of their shares of PISV for $275 , 000 and PISV became China entity Technologies Inc . listed on the OTCBB symbol ( CLTT ) .
lithium|DRUG|Chairman of Cardiac Pacemakers , Inc . , a company founded by Mr . Villafana to develop , manufacture and market a new generation of entity powered pacemakers .
lithium|DRUG|The e-Go is an all-electric vehicle powered by advanced entity batteries .
lithium|DRUG|Inc . , a company that is engaged in the manufacture , commercialization and distribution of a wide variety of standard and customized entity ion rechargeable batteries .
lithium|DRUG|These adjunctive agents may include atypical antipsychotics , like aripiprazole and quetiapine , or other agents such as buproprion and entity .
lithium|DRUG|In the last few years several academic research initiatives were conducted to explore the efficacy of approved drugs such as entity , varenicline ( Chantix ® ) , riluzol and dalfampridine .
lithium|DRUG|for the treatment of patients with depressive episodes associated with bipolar I disorder as monotherapy and as adjunctive therapy with entity or valproate , which expires in June 2016 .
lithium|DRUG|( now a division of Guidant Corporation ) , a company founded by Mr . Villafaña to develop , manufacture and market a new generation of entity powered pacemakers .
lithium|DRUG|In the ITI-007-402 trial , patients receive lumateperone or placebo adjunctive to their existing mood stabilizer entity or valproate .
lithium|DRUG|and as director to Aug 2015 where he led a team of scientists and entrepreneurs for the development of solid-state entity ion battery for electric vehicles and smart grid applications .
lithium|DRUG|The car is all-electric and powered by advanced entity ion batteries .
lithium|DRUG|· With further investment , other patches can be developed which are able to measure alternative analytes , including lactates , uric acid , entity and drugs .
lithium|DRUG|Recently , higher power , higher priced entity and rechargeable batteries have grown in response to more demanding power needs of more advanced devices .
lithium|DRUG|ABILIFY®  In February , the FDA approved ABILIFY as an adjunct to mood stabilizers entity or valproate for the maintenance treatment of Bipolar I Disorder .
lithium|DRUG|The U . S . retail battery category is defined as alkaline , carbon zinc , entity , rechargeable and specialty batteries .
vecuronium|DRUG|( sugammadex ) Injection 100 mg / mL was approved by the FDA for the reversal of neuromuscular blockade induced by rocuronium bromide and entity bromide in adults undergoing surgery .
vecuronium|DRUG|is specifically designed to reverse the effects of certain muscle relaxants , marketed in the United States as ZEMURON ( R ) ( rocuronium bromide ) and entity bromide .
vecuronium|DRUG|We initiated a recall of a batch of entity bromide , a product we 43 market on behalf of a third party , in February 2001 due to concerns with filtration-testing
vecuronium|DRUG|the first U . S . regulatory approvals on products that are difficult to produce , such as etoposide ( with GLL ) , bleomycin , pancuronium and entity .
vecuronium|DRUG|The Company is manufacturing and marketing entity bromide prior to expiration of the patent covering this product pursuant to a licensing arrangement .
vecuronium|DRUG|Nevzat Ilac Sanayii A . S . , a subsidiary of Amgen , Inc . , ( MN ) to acquire the rights to three products : Methylprednsilone Sodium Succinate , entity and Pamidronate Disodium .
vecuronium|DRUG|In December 2015 , the FDA approved Bridion for the reversal of neuromuscular blockade induced by rocuronium bromide and entity bromide in adults undergoing surgery .
vecuronium|DRUG|of a clinical trial site for sugammadex , Mercks investigational medicine for the reversal of neuromuscular blockade induced by rocuronium or entity .
vecuronium|DRUG|demand of BRIDION ( sugammadex ) Injection 100 mg / mL , a medicine for the reversal of neuromuscular blockade induced by rocuronium bromide or entity bromide in adults undergoing surgery .
vecuronium|DRUG|In addition , we have been able to help alleviate market shortages through the launches of entity and paclitaxel .
vecuronium|DRUG|In March 2000 , the Company resumed the manufacture and commercial distribution of entity bromide under the expedited certification procedures provided in the Consent Agreement .
vecuronium|DRUG|For purposes of this paragraph , the term " Krypton Products " refers to glipizide , glyburide , ISMN , midazolam HCL and entity bromide .
vecuronium|DRUG|Sugammadex sodium injection is Mercks investigational medicine for the reversal of neuromuscular blockade induced by rocuronium or entity .
vecuronium|DRUG|dosage product portfolio are 45 products for which the Company is currently the sole generic source , one of which is entity bromide .
vecuronium|DRUG|Due to deviations from the FDA  s manufacturing regulations , we are conducting voluntary product recalls of entity bromide and PTE-4 products .
